adal_nr;nafn;V;N;fjarlægð;logMedal10;expMedal10;fjoldi.flokk;ath
3;Affall;-20,38276;63,61448;-750;6,835138492;929,957133;;ny
158;Blanda;-20,29629728;65,6602274;455;8,027070828;3062,757179;15;
208;Botnsá;-21,35723185;64,38240523;-568;5,015020337;150,6592007;5;
225;Breiðdalsá;-14,0881298;64,78536327;1190;5,433559608;228,9628145;15;
257;Brynjudalsá;-21,40551687;64,35841828;-553;5,127794832;168,6448176;10;
277;Búðardalsá;-22,2277752;65,30995295;-200;6,246430881;516,1672709;10;
343;Deildará;-15,94750637;66,44063961;850;5,734517292;309,3636024;10;
378;Dunká;-21,94027251;65,02398538;-289;5,503663189;245,5899289;5;
410;Eldvatn í Meðallandi;-17,94967;63,60361;-870;3,889961899;48,90902298;5;
411;Elliðaár;-21,83705448;64,13247058;-553;7,506151475;1819,198821;15;
423;Eyjafjarðará;-18,06122901;65,64369914;691;;;5;ut
515;Fjarðarhornsá;-22,54714031;65,64603702;-170;5,46958632;237,3619806;5;
1384;Flekkudalsá;-22,37327409;65,15969468;-232;5,733106852;308,9275712;10;
1064;Fljótaá;-19,03106801;66,04821896;610;5,743290105;312,089531;10;
531;Flókadalsá í Fljótum;-19,14854458;66,03832295;610;3,967432561;52,84867075;5;
537;Fnjóská;-18,09236268;65,89680916;670;5,979029795;395,0568961;10;
560;Fossá á Skaga;-19,918556;65,944793;520;5,012917536;150,3427273;5;
608;Fróðá;-23,6153828;64,89129348;-350;5,087025277;161,907515;5;
465;Fáskrúð;-21,70327593;65,17516121;-265;6,127750784;458,4039507;10;
618;Fögruhlíðará;-14,38734;65,72038;1010;3,323326663;27,75252044;;ny
;Geirlandsá í V-Skaft.;-18,04834985;63,81472978;-1000;;;5;ut
701;Glerá í Dölum;-21,74432;65,20423;-240;4,112787777;61,1168605;;ny
716;Gljúfurá;-20,46958923;65,50015215;450;3,792279142;44,35738191;5;
2052;Grísholtsá og Bakká;-22,77331119;65,01737148;-321;4,460787182;86,55561733;5;
835;Haffjarðará;-22,41091333;64,80702757;-464;7,871114698;2620,48501;15;
851;Hafralónsá og Kverká;-15,38389159;66,14166555;860;5,978379011;394,7998831;10;
867;Hallá;-20,27664223;65,78466715;465;5,267167823;193,8661211;5;
883;Haukadalsá;-21,77201311;65,03787707;-278;7,195034805;1332,796712;15;
990;Hoffellsá;-15,2419;64,27569;-1000;2,605054853;13,53196755;;ny
996;Hofsá og Sunnudalsá;-14,81161294;65,71781981;1005;6,979668739;1074,562348;15;
1096;Hrolleifsdalsá;-19,41073518;66,01953093;594;;;5;ut
1102;Hrófá;-21,66410564;65,66010139;331;5,255940555;191,7017071;5;
1106;Hrútafjarðará og Síká;-21,07093966;65,14974434;390;6,838963629;933,5211591;10;
1147;Hvalsá;-21,18814;65,37508;390;4,108608584;60,86197427;;ny
1199;Hvolsá og Staðarhólsá;-21,93764267;65,38879732;-200;6,117914882;453,9172359;5;
1189;Hvítá í Borgarfirði;-21,76392488;64,58356948;-520;9,617414013;15024,14741;20;
955;Héraðsvötn;-19,45569276;65,59089497;559;6,970539343;1064,796886;10;
956;Hítará;-22,33238579;64,69700821;-480;7,360501573;1572,625152;15;
1216;Hölkná;-15,50846397;66,19619677;860;4,908020593;135,3711943;5;
1221;Hörðudalsá;-21,79076297;65,02347776;-280;5,235845613;187,8879196;5;
1290;Jökulsá á Dal;-14,26617;65,66302;1035;6,666161451;785,3751103;;ny
1360;Kerlingardalsá og Vatnsá;-18,90519081;63,41163388;-850;5,846540288;346,0351254;10;
1462;Krossá á Skarðsströnd;-22,36288785;65,2708294;-225;5,162752805;174,6445569;10;
1461;Krossá í Bitru;-21,38365319;65,4784584;322;3,955314293;52,21210124;5;
1485;Kúðafljót;-18,17564;63,45938;-850;5,95530119;385,7930902;;ny
1516;Lagarfljót;-14,26648;65,66588;1035;4,925210965;137,7183923;;ny
1560;Langadalsá / Hvannadalsá;-22,34789361;65,89933828;137;6,068276698;431,9356841;10;
1568;Langá;-22,01322603;64,57226306;-520;8,070507052;3198,723338;15;
1579;Laugardalsá í Ísafjarðardjúpi;-22,64450703;66,00799133;122;5,971089343;391,932387;10;
1593;Laxá á Refasveit;-20,26258119;65,7254859;458;6,623213648;752,3590333;10;
1592;Laxá á Skaga;-19,84952;65,89603;458;4,497279039;89,77253111;;ny
1585;Laxá á Skógarströnd;-22,12327272;65,02679273;-292;6,056135607;426,7232201;5;
1599;Laxá á Ásum;-20,33576431;65,614369;450;7,575847054;1950,511753;15;
1591;Laxá í Aðaldal;-17,41903581;65,99016869;790;7,093092505;1203,624265;15;
1600;Laxá í Dölum;-21,77232;65,09869;-240;7,679552581;2163,651496;15;
1584;Laxá í Hrútafirði;-21,15084543;65,26176761;380;4,610686944;100,5532003;5;
1601;Laxá í Hvammssveit;-21,77945298;65,20623262;-265;5,012501631;150,280212;5;
1590;Laxá í Kjós;-21,61263;64,3421;-553;7,630938166;2060,982657;15;
1589;Laxá í Leirársveit;-21,85966847;64,38800729;-554;7,464659361;1745,260943;15;
1615;Leirvogsá;-21,71058002;64,18258;-553;6,669257764;787,8106463;15;
1733;Miðfjarðará;-20,90954418;65,34582947;410;8,548973854;5161,455302;15;
1734;Miðjarðará við Bakkafj.;-15,09744295;66,04224308;950;5,519377256;249,4796268;10;
1717;Miðá og Tunguá;-21,76712205;65,02418704;-281;6,508051798;670,5188383;10;
1885;Ormarsá;-15,9049844;66,4074996;825;6,155776209;471,4326309;10;
1910;Prestbakkaá;-21,19540414;65,31428055;350;4,950180084;141,2003896;5;
1040;Rangárnar;-20,5567;63,68826;-750;10,14414482;25441,69945;20;
2007;Sandá;-15,57210378;66,21650746;850;6,173166954;479,7029002;10;
2097;Selfljót og Gilsá;-13,9911361;65,59778279;1050;3,472375296;32,21316745;5;
2063;Selá í Steingrímsfirði;-21,72004137;65,77635827;350;3,659782248;38,85288165;5;
2080;Selá í Vopnafirði;-14,80284385;65,82598865;1000;7,373866616;1593,784437;15;
2090;Selá í Álftafirði;-14,50066;64,53473;-1100;3,166968364;23,73541802;;ny
1898;Setbergsá;-22,56729183;65,0339602;-311;2,281368787;9,790071764;5;
2223;Skjálfandafljót;-17,63235912;65,98676989;788;6,662715658;782,6735275;15;
2239;Skógá;-19,56521;63,49429;-800;5,260238917;192,5274839;;ny
2282;Staðará í Steingrímsfirði;-21,78297;65,76625;350;5,244789469;189,5758994;;ny
2281;Staðará í Súgandafirði;-23,56913;66,12337;55;5,221750171;185,2581339;;ny
2385;Straumfjarðará;-22,70116895;64,80888749;-454;6,888385423;980,8165343;10;
2424;Svalbarðsá;-15,6937917;66,22296606;850;6,284293019;536,0851546;10;
2452;Svínafossá;-22,21443;65,03016;-321;5,051284962;156,2230763;;ny
;Tungufljót;-18,49297453;63,68186192;-890;;;5;ut
110;Vatnas. Baugstaðaós;-20,94885661;63,81933779;-722;4,088511193;59,65101671;5;
2645;Vatnsdalsá;-20,38364237;65,5884268;450;7,238488049;1391,987762;15;
2643;Vatnsdalsá í Vatnsfirði;-23,13391;65,58523;-170;4,35021771;77,49533261;;ny
2646;Vatnsholtsós og vötn;-23,27238479;64,82684089;-430;3,332373695;28,00473759;5;
2670;Vesturdalsá;-14,90419581;65,75202598;1004;4,708907291;110,9308785;10;
2711;Víkurá;-21,26672826;65,45698828;330;5,312600557;202,8771365;5;
140;Víðidalsá og Fitjá;-20,54060418;65,50180104;440;7,45920522;1735,767955;15;
2691;Víðidalsá í Steingrímsf.;-21,67484849;65,68338694;340;5,936411801;378,5740905;5;
69;Álftá;-22,23485242;64,58360693;-495;6,300430552;544,8064271;10;
1268;Ísafjarðará;-22,58289436;65,78131769;154;4,149420178;63,39723054;5;
2959;Ölfusá;-21,20811026;63,90072336;-722;9,074291339;8727,998358;15;
2599;Úlfarsá (Korpa);-21,74713512;64,16508178;-553;6,254606144;520,40437;10;
2791;Þjórsá;-20,74636;63,80059;-722;9,154065383;9452,79159;15;
2799;Þorskafjarðará;-22,09426;65,60481;-190;4,088221336;59,63372893;;ny
